English Title,Year,Country,Rating,Number of Raters,Actors,Synopsis,Number of Episode,URL
Legend of Awakening,2020,China,8.9,11144,"['Dylan Xiong', 'Chen Fei Yu', 'Cheng Xiao', 'Deng En Xi', 'Yu Yi Jie', 'Tse Kwan Ho', 'James Wen', 'Marcus Zhang', 'Wang Jia Ning', 'Huang Hai Bing', 'Jie Bing', 'Jill Hsu', 'Shi Yu', 'Show less']","In a land ravaged by supernatural forces of evil, mortals attempt to fight back with martial arts and magic. Throughout the realm, competing academies have emerged, where promising young students learn how to use magic and fighting skills to defeat demonic foes.

Into this world are cast two orphans, the rebellious but genial Lu Ping (Chen Fei Yu) and Su Tang (Deng En Xi). After being imprisoned for many years, they plot and execute a daring escape.

Despite their lowly status as runaways, they actually possess exceptional magical powers. The dean of a leading martial arts academy recognizes their great potential and offers to take them on as students.

After enrolling, they meet a number of fellow students, such as Xi Fan (Dylan Xiong) and Mo Lin (Yu Yi Je). They also meet the somewhat haughty Qin Sang (Cheng Xiao), the daughter of a prominent general.

Together with these new allies, the budding young martial artists hone their skills in inter-academy contests – as they prepare to take on the forces of evil!

This drama was based on a novel of the same name written by Hu Die Lan (also known as Butterfly Blue).

“Legend of Awakening” is a 2020 Chinese drama series directed by Vicky Wong.",48,https://www.viki.com/tv/36447c
Your Honor,2018,Korea,9.4,10877,"['Yoon Shi Yoon', 'Lee Yoo Young', 'Park Byung Eun', 'Kwon Nara', 'Yoon Na Moo', 'Sung Dong Il', 'Kim Kang Hyun', 'Heo Sung Tae', 'Park Ji Hyun', 'Lee Ki Hyuk', 'Baek Ji Won', 'Han Soo Yeon', 'Show less']","There are identical twins named Han Soo Ho and Han Kang Ho. Although they are both smart, good-looking, and share the same gene, they live completely different lives. Han Soo Ho has never missed the first place. He knew that there is the power that people only in the first place can gain. Moreover, his brother, who was athletic and eloquent, grabbed people\u2019s attention which decreased Han Soo Ho\u2019s presence. However, there was one thing he could win over his brother. It was studying. As Han Soo Ho became smarter, the gap between his brother grew bigger. Han Soo Ho passed the bar exam as the youngest person and became the judge. He was well known to judge according to the assessment of a case. Meanwhile, Han Kang Ho has five criminal records. One day, Han Kang Ho finished serving his sentence. When he came out, he realized that Han Soo Ho had suddenly disappeared and decided to take over his brother\u2019s place as a judge. The criminal, who used to live behind bars, becomes to be judge people by the law. The criminal, who was once treated as a trash, becomes the honorable judge who everyone respects. Han Kang Ho, the judge with five criminal records. What will happen to his life? This story is about the process of people, who once desired other's life, finding their own life.",32,https://www.viki.com/tv/36113c
Well Intended Love Season 2,2020,China,9.3,34090,"['Xu Kai Cheng', 'Simona Wang', 'Ian Yi', 'Huang Qian Shuo']","In Season 1 of “Well Intended Love,” out-of-luck actress Xia Lin (Simona Wang) is diagnosed with leukemia but happens to run into a controlling conglomerate CEO named Ling Yi Zhou (Xu Kai Cheng) who would make a compatible bone marrow donor for her.

She asks him to help. He agrees, but only on the condition that he marries her!

Meanwhile, in a parallel universe, Xia Lin is actually a very famous actress and she is yet to meet Ling Yi Zhou.

However, their fates become intertwined in this universe, too, when Xia Lin attends a gala and ends up getting into an embarrassing spat with Ling Yi Zhou.

Things get worse for the duo when damning photos of their fight are published online.

They decided to hold a joint press conference to clear the air, but this event takes a sudden and bizarre turn when Ling Yi Zhou suddenly tells the media that they are actually engaged!

Can the duo keep up the presence, or will their cover be blown? And could this bizarre set of circumstances pave their way to true love? Or could a love rival derail the romantic gravy trail?

“Well Intended Love Season 2” is a 2020 Chinese drama series directed by Wu Qiang.",16,https://www.viki.com/tv/37003c
The Lady in Butcher's House,2022,China,9.1,6201,"['Zhang Han Yun', 'Tong Meng Shi', 'Chen Yi Long', 'Sheng Hui Zi', 'Wang Ruo Lin', 'Zeng Yi Xuan', 'Shi Jie Ru', 'Ren Yu', 'Man Ning XiCameo']","Xu Qing Jia (Tong Meng Shi) is a bookish and morally principled young man who was orphaned when he was a child. He is something of a wimp and does not excel at anything with one exception: When it comes to studying, he is almost unsurpassed. Despite his inauspicious background, he manages to place second in a highly competitive civil service entrance examination – a fact that allows him to win a post as a county magistrate. He hopes to bring fairness to the region with tax reforms, corruption-fighting measures, and famine-alleviating actions. But his task is not going to be easy – many obstacles stand in his way.

Fortunately, he has a key ally in his struggle: Hu Jiao (Han Yun Zhang), the youngest daughter of the Hu family. The Hu family runs a pork butchery and Hu Jiao has effectively managed it since she was a child. A quirk of fate leads her to marry Xu Qing Jia. But while this marriage looks – on paper – to be a disastrous match, sometimes opposites attract. She is everything he isn’t: She might be illiterate, but she’s a fearsome fighter, a streetwise tough-talker, and has no shortage of common sense. Could this unconventional duo defeat the corrupt officials who stand in their way – and realize their dream of creating a brighter tomorrow for the county?

“The Lady in Butcher’s House” is a 2022 Chinese drama series that was directed by Mao Kun Yu.",36,https://www.viki.com/tv/38459c
Perfect Crime,2019,Japan,8.5,11480,"['Dori Sakurada', 'Reina Triendl', 'Hidekazu Mashima', 'Motoki Ochiai', 'Mariya Nagao', 'Hosoda Yoshihiko']","Working as a design planner for a housing manufacturing company, Kaori Maejima (Reina Triendl) seems to be the sort of person who lives a very normal, comfortable life. Having been with the company for years, Kaori has all the appearances of a well-settled individual. But underneath that innocent exterior, Kaori harbors an unexpected secret.

Having fallen in love with her boss, Takuma Fuyuki (Hidekazu Mashima), years ago, Kaori knew that as a married man, he would never take notice of her; but in reality, she couldn’t have been more wrong. For years now, the two have been involved in a secret affair. Despite knowing she has no future with Takuma, Kaori can’t seem to let him go. But the arrival of Haruto Shinonome (Dori Sakurada), an interior designer fresh from New York, changes everything. 

Assigned to work on a design project together, Kaori’s life becomes infinitely more complicated with Haruto around. Finding herself forced to face several harsh realities, could Haruto be the catalyst that changes Kaori’s fate forever?

Based on the manga series of the same name by Ririo and Aya Tsukisima, “Perfect Crime” is a 2019 Japanese romantic drama directed by Takeshi Furusawa, Yusuke Taki, and Osamu Minorikawa.",10,https://www.viki.com/tv/38638c
Missing: The Other Side,2020,Korea,9.6,10603,"['Go Soo', 'Heo Joon Ho', 'Ahn So Hee', 'Ha Jun', 'Seo Eun Soo', 'Moon You Kang', 'Ji Dae Han', 'Song Geon Hee', 'Kang Mal Geum', 'Lee Joo Won', 'Lee Joo Myung', 'Jang Kyug Su', 'Show less']","Kim Wook (Go Soo) is a smooth-talking conman who earns money by cheating unsuspecting folks out of their money.

But his life takes a turn when he tries to pull off his usual mischief in Duon Village. He soon comes to realize that things are going awry in this sleepy-looking rural hideaway – with the soul of dead people haunting the village.

He meets Jang Pan Seok (Heo Joon Ho), a shady character who ostensibly searches for missing people.

The two form an unlikely alliance – and decide to get to the heart of the mystery and the village’s dark secrets.

The men are joined on their quest by Lee Jong Ah (Ahn So Hee), a minor public officer by day, but a social activist with dazzling computer skills by night.

Also joining the adventure is Shin Joon Ho (Ha Jun), a policeman on a desperate mission to find his missing fiancée.

Does this motley crew have what it takes to discover the village’s secrets?

“Missing: The Other Side” is a 2020 South Korean drama series that was directed by Min Yeon Hong.",12,https://www.viki.com/tv/37320c
HANA-KIMI,2007,Japan,9.2,13195,"['Horikita Maki', 'Oguri Shun', 'Ikuta Toma', 'Mizushima Hiro', 'Yamamoto Yusuke', 'Kimura Ryou']","Mizuki Ashiya (Horikita Maki) is a female high school student and budding runner who has been studying abroad in the United States, but decides to transfer to a school in Osaka, Japan, so she can be near a student she idolizes the high jump athlete Izumi Sano (Oguri Shun). The problem is, the school he attends is an all-boys’ boarding school – meaning that she must disguise herself as a male in order to gain entry.

She cuts her hair short and manages to get into the school, even managing to become Izumi Sano’s roommate in his dormitory. But it is not long before people at the school start to learn Mizuki Ashiya’s secret, including her new roommate, who starts to develop feelings for her. Things get complex, however, when other classmates also start to fall for her – and when her brother comes to bring her back to the USA, all sorts of chaos appears ready to break loose!

This series was based on the 2004-2008 manga series of the same name, which was authored by Hisaya Nakajo.

“Hana-Kimi” is a 2007 Japanese drama series that was directed by Matsuda Hidetomo, Tsuzuki Junichi, and Sato Genta.",12,https://www.viki.com/tv/38126c
About is Love,2018,China,8.9,8381,"['Xu Xiao Nuo', 'Yan Xi', 'Cai Yi Jia', 'Li Xin Bo', 'Hu Wen Zhe', 'Yang Xin Ying']","On the outside, Wei Qing (Yan Xi) seems to be a man who has it all. Working as a high-ranking corporate executive, Wei Qing has all the money, power, and respect a man in his position would possess. But beneath that composed exterior lies a soul who has been grievously wounded. 

Having been involved in a rather traumatic incident in his youth, Wei Qing struggles with a severe case of Obsessive-Compulsive Disorder. Scarred by his past, Wei Qing has developed an inability to interact with women. Having spent the past ten years trying to find someone who might be able to help him, Wei Qing was on the verge of giving up when fate decided to intervene. In a drunken encounter, Wei Qing finds himself crossing paths with Zhou Shi (Xu Xiao Nuo), a pretty young art student who, oddly enough, doesn’t trigger his OCD.

Hoping Zhou Shi might be the only one able to help him, Wei Qing proposes an arrangement that promises to be beneficial to them both. Agreeing to his terms, Zhou Shi has no idea she’s setting them both on a course that will change their lives forever; but will this change be for the better?

A story of love and healing, “About is Love” is a 2018 Chinese romance drama directed by Xu Pei Shan.",30,https://www.viki.com/tv/38696c
Love Script,2020,China,9.3,13917,"['Zhuang Da Fei', 'Wan Yan Luo Rong', 'Dai Xiang Yu', 'Ma Xin Mo', 'Fu Jia', 'Cui Peng', 'He Yong Sheng', 'Yang Ye Ming', 'Xu Hao', 'Liu Zhi Wei', 'Li Xin Liang', 'Show less']","As a man who possesses good looks, a high IQ, and incredible wealth, Zhu Xuan Wen (Wan Yan Luo Rong) wants for nothing. A rarity among men, he is the sort of man every woman dreams of and every man secretly wishes he could be; and yet, Xuan Wen is not what he seems. Involved in a car accident at a young age, Xuan Wen developed a strange neurosis which, over the years, has only gotten worse. Believing he is Emperor Jianwen of the Ming Dynasty, Xuan Wen cares for nothing other than the prosperity of his imaginary empire.

Foregoing all duties in his everyday life, Xuan Wen leaves the management of his company in the hands of others to focus instead, on building himself a palace and managing his thriving empire. Not knowing what else to do, those closest to him agree they need to seek professional help on his behalf. Hiring Luo Kai Huai (Zhuang Da Fei), a mental health professional whose desperate need for money prompts her to take Xuan Wen’s unusual case, they leave Xuan Wen in her care.

Now a member of the emperor’s “harem”, Kai Huai must find a way to help Xuan Wen but his constant attempts to drive her away make the job all but impossible. Constantly clashing with the would-be emperor, Kai Huai must find a way to help Xuan Wen, but how?

Adapted from the novel “My Delusional Boyfriend”, by Ye Zi, “Love Script” is a 2020 romantic comedy drama directed by Liu Han Yang.",24,https://www.viki.com/tv/37648c
When I See You Again,2015,Taiwan,9.0,8115,['Jasper LiuAtor PrincipalMandy WeiAtor PrincipalJet ChaoAtor PrincipalIvy ShaoAtor PrincipalTina ChouAtor Coadjuvante'],"Xia You Qian (Jasper Liu) is the total package. He’s good-looking, a highly successful head of a private equity company and well liked by everyone around him. Even competitors like Hu Yan Ze (Jet Chao) can’t help but respect him and wealthy socialites like Hu Yong Qing (Ivy Shao) are in love with him. But You Qian also has the keen ability to make accurate assessments about people at first sight using his strong observational skills. When You Qian and his grandfather are invited to Pu Lang village to judge a competition, he runs into An Xi (Mandy Wei), a woman who was responsible for You Qian nearly losing his life 10 years ago. An Xi is forced to enter the competition to try to earn the prize money to save her hostel, which she inherited from her father but is riddled with debt. After You Qian’s prejudice forces An Xi to lose the competition, will she be forced to marry her creditor to pay back her debts? “When I See You Again” is a 2015 Taiwanese drama series.",20,https://www.viki.com/tv/28009c
That's My Candy,2022,Thailand,7.3,5920,"['Panuwat Kerdthongtavee', 'Warodom Khemmonta', 'Puwanai Sangwan', 'Lee Long Shi', 'Chitsanupong Soeksiri', 'Parinya Angsanan']","Guy (Warodom Khemmonta) is a hard-working nurse at a busy hospital. He has been dating Jing (Panuwat Kerdthongtavee), a fourth-year film student for the past three years. Although their relationship seems to be perfect from the outside, cracks are beginning to appear. Guy’s commitment to his work puts his schedule at odds with that of Jing, who is busy working on his final project at uni. When Jing has free time, he loves to watch his favorite VJs livestream on his phone – a habit that irritates Guy.

This all comes to a head when Guy stands Jing up on a date – leading the latter to declare that they are breaking up. Guy wants to reconcile, and hatches a plan that involves finding a way for Jing to meet his best-loved VJs as a surprise. But things don’t go according to plan right away: Getting in touch with these VJs proves to be tough, and events at work begin to complicate matters further. Is there a way back to love for this duo – or has the romance ship already sailed?

“That’s My Candy” is a 2022 Thai drama series that was directed by Cheewin Thanamin Wongskulphat.",6,https://www.viki.com/tv/38415c
Mr Swimmer,2018,China,9.1,18032,"['Ju Jing Yi', 'Jerry Yan (1994)', ""Mike D'Angelo"", 'Hu Bing', 'Huang Xin Yao']","Two best friends not only compete in swimming, but also in love and life.

Bai Yong Ze (Mike D'Angelo) is a handsome, talented swimmer that comes from humble beginnings.

Lan Tian (Jerry Yan) is his loyal yet competitive best friend.

That is until Bai Yong Ze and Lan Tian have to compete for a spot on the national swimming team.

Song Cha Cha (Ju Jing Yi) is a beautiful girl that comes from a rich family, that took a huge financial hit, loosing everything they once had. To make matters worse, Lan Tian, her boyfriend, breaks up with her for no apparent reason.

Will Bai Yong Ze fall in love with the now single, Song Cha Cha, his best friend's ex?

How will these three characters face the difficult path that life has placed in front of them?

Mr Swimmer is a 2018 Chinese drama.",46,https://www.viki.com/tv/36280c
The Night I Became an Animal,2021,Japan,8.3,12635,"['Oshima Ryoka', 'Tezuka Mai', 'Kojima Riria', 'Sakanoue Akane', 'Reiya Masaki', 'Inoue Sora']","*Seasons 1, 2, and 3 of ""The Night I Became an Animal"" are included in this title.*

Sometimes in a woman’s life, passions boil over and lead them to do things that – in ordinary circumstances – they would never dream of doing. And sometimes this manifests itself in a desire for intimacy. This omnibus-style drama series focuses on a different woman in each episode, focusing on the series of events that led up to a single instance of “transforming into an animal.”

In the first episode, a 28-year-old woman (Oshima Ryoka) has been living together with her boyfriend for three years and is frustrated by the fact that their relationship has become completely sexless. When she attends a school reunion, however, she finds herself drawn to an ex-classmate. Will she indulge in her passions? In another episode, a 29-year-old woman (Kojima Riria) who is in an awkward relationship with her boyfriend has a row with him in a restaurant. In another, a woman (Tezuka Mai) considers the idea of workplace romance – while in another, a geeky junior college student (Sakanoue Akane) with no experience in love edges toward her first intimate encounter!

“The Night I Became an Animal” is a 2021-2022 Japanese drama series that was directed by Keinosuke Hara and Hiroki Shibasaki.",14,https://www.viki.com/tv/39497c
Taxi Driver,2021,Korea,9.7,29239,"['Lee Je Hoon', 'Esom', 'Kim Eui Sung', 'Pyo Ye Jin', 'Yoo Seung Mok', 'Jang Hyuk Jin', 'Bae Yoo Ram', 'Lee Yoo Joon', 'Lee Ho Chul', 'Bek Hyunjin', 'Choi Hyun Wook', 'Show less']","Do Ki has lived more honestly than anyone else as an officer in the Special Forces. Yet, when a serial killer murders his mother, he spends his days in agony. While feeling wronged and broken, Do Ki meets Jang Sung Chul, who recruits Do Ki to work for his company, Rainbow Taxi. Far from an ordinary taxi service, Rainbow Taxi is a secret organization that avenges victims whom the law didn\u2019t protect. Here, Do Ki becomes a star driver who delivers satisfying revenge. Meanwhile, Ha Na is a prosecutor who investigates Rainbow Taxi. She is furious with their lawless behavior, but at the same time, she feels confused to see them solve cases that the law cannot. Between those who believe that revenge embodies true justice and those who pursue the outlaws, Do Ki seeks what justice truly means.",16,https://www.viki.com/tv/37770c
Stand By Me (2021),2021,China,9.0,12007,"['Zhang Yu Xi', 'Cheng Yi', 'He Sheng Ming', 'Han Dong', 'Xuan Lu', 'Xi Xue']","In Tang Dynasty-era China, in the 9th Century CE, the Emperor is locked in a deadly power struggle with a group of formidable eunuchs who wield enormous power at court. He decides to strike back by ordering the death of their ringleader Qiu Shi Liang (He Sheng Ming). But the mission is botched. The eunuchs take revenge by ordering the death of the Emperor’s loyal first minister, along with his entire family. But his twin daughters, later to be known as Cheng Ruo Yun (Zhang Yu Xi) and Qiu Yan Zhi (Xuan Syun Lou), escape. The eunuchs now seize yet more power over the royal court, rendering the Emperor a mere puppet. But the minister’s two daughters have evaded detection – and move off toward very different fates…

Yan Zhi becomes part of Qiu Shi Liang’s household, and is secretly hell-bent on revenge. But her sister Ruo Yun has taken the other side, joining a group of military professionals that is enlisted by the new, young Emperor Li Yan (Cheng Yi). The Emperor is determined to rid the palace of the scourge of the eunuchs once and for all, and Ruo Yun pledges her life to help him do that – even if it means throwing herself in the path of danger. The duo starts to form a romantic bond as they get to know one another. But will the Emperor still trust her if he discovers her true identity – and her connection to his mortal foe?

“Stand By Me” is a 2021 Chinese drama series that was directed by Zeng Li Zhen, Zhao Li Jun, and Liu Guo Nan.",49,https://www.viki.com/tv/37509c
Born Again,2020,Korea,8.9,18156,"['Jang Ki Yong', 'Jin Se Yeon', 'Lee Soo Hyuk', 'Kim Jung Nan', 'Choi Kwang Il', 'Jung In Kyum', 'Jang Won Young', 'Lee Seo El', 'Cha Min Jee', 'Kim Min Sun', 'Kim Jung Young', 'Choi Dae Chul', 'Park Sang Hoon', 'Show less']","Life, death, and second chances take center stage where three people whose intertwined destinies travel through space and time with haunting results. It's the 1980s, and Detective Cha Hyung Bin has devoted his life to criminal justice and his heart to Ha Eun, a bookshop owner suffering from heart disease who keeps her illness a secret. But Hyung Bin isn't the only one pining after Ha Eun: serial killer Ji Chul has also fallen in love with her. Their lives collide with tragic results, but 30 years later, they're reincarnated, and fate brings them together again. The more time passes, the more their new lives become tangled in the devastating web of history.",32,https://www.viki.com/tv/37088c
Be Mine Superstar,2023,Thailand,9.0,13095,"['Ja Phachara Suansri', 'First Chalongrat Novsamrong', 'Ben Benjamin Brasier', 'Wayo Peerawat Sareewong', 'Bosston Suphadach Wilairat', 'Jo Kavinpat Thanahiransilp']","As a third-year film student, the only thing Punn (Ja Phachara Suansri) is more than a little excited when he learns he’s landed an internship, working on the set of an upcoming drama. Ready to learn from the best in the business, Punn can’t wait to get started.

Arriving on-set, Punn has no trouble settling into his new role. With a team of incredible professionals to learn from, Punn’s passion for his work grows daily. But it isn’t until he meets the drama’s leading man, Achi (First Chalongrat Novsamrong) that that passion is fanned into a roaring flame. Handsome and talented, it’s easy to see why Achi is one of the nation’s most beloved actors. But it’s why lies underneath that Punn finds completely irresistible.

Naturally drawn to Achi, Punn can’t help falling in love with the brilliant superstar. But as nothing more than a lowly intern, does Punn stand a chance of catching this celebrity’s eye?

Adapted from the novel “The Superstar and the Puppy on Set” by Orpheus, “Be Mine Superstar” is a 2023 Thai romance drama directed by David Bigander.",12,https://www.viki.com/tv/39937c
Shining Just For You,2022,China,9.1,8552,"['Feng Shao Feng', 'Peng Xiao Ran', 'Liu Meng Rui', 'Zhu Zheng Ting', 'Cheng Xiao Meng', 'Bian Cheng']","Ye Ling Shuang (Peng Xiao Ran) is a young woman who can foresee great tragedies and disasters before they happen. Although she is pure of heart, her gift has become a curse – and she has been shunned by those who think she brings bad luck. Only a young and beautiful princess shows her kindness. But that same princess is given a deadly choice by the dastardly Emperor Gao of the Chao Kingdom (Feng Shao Feng). She must either marry him – or die. She refuses to give in to him, which gives him the excuse he needed to attack her people.

A conflict breaks out, whereby Ye Ling Shuang is taken prisoner. But she has now vowed to take revenge on the Emperor. And, using her talents, she wins freedom – and then promotion. Soon, she finds has caught the Emperor’s eye. But he is not the only one who wants to win her heart: Wu Yu (Zhu Zheng Ting), a surviving prince of a clan that was all but wiped out by the Emperor, also loves Ye Ling Shuang. Although he finds it hard to express his love, he springs into action when he sees that the Emperor has fallen for the woman he loves. Will love cause the cruel Emperor to change his ways? Or is Ye Ling Shuang destined to be with the angelic Wu Yu?

“Shining Just For You” is a 2022 Chinese drama series that was directed by Chung Shu Kai and Zhang Jun Hao.",25,https://www.viki.com/tv/38982c
The Girl Who Sees Smells,2015,Korea,9.3,33860,"['Park Yoochun', 'Shin Se Kyung', 'Song Jong Ho', 'Yoon Jin Seo', 'Namgoong Min', 'Choi Tae Joon', 'Park Jin Joo', 'Jung In Ki', 'Oh Cho Hee', 'Kim So Hyun']","Cho Rim comes home from school and finds out that her parents were killed by a serial killer. She also gets into a car accident while running away from the killer and stays in a coma state for six months. When she wakes up, she doesn\u2019t remember what happened in the past or her own name. And she gains a supernatural power that enables her to see smells. Moo Gak, a detective, also loses his younger sister named Eun Seol, to a murderer. He gets a big shock and loses consciousness, which takes him six months to regain consciousness. Without knowing each other\u2019s painful family loss history, Cho Rim and Moo Gak meet each other, and Cho Rim\u2019s ability becomes a big help to Moo Gak, and they become very close.",16,https://www.viki.com/tv/26605c
Be Together,2021,China,9.0,13580,"['Vin Zhang', 'Sun Yi', 'Ma Li', 'Du Yu Chen', 'Zhang Wen']","Four female friends and former classmates – Xia Yan (Sun Yi), Zhao Xiao Lei (Du Yu Chen), Xiang Nan (Zhang Wen), and Han Shuang (Ma Li) – have formed a bond that could last a lifetime. But as they approach the end of their twenties, they all find themselves facing up to a range of very different challenges.

Xia Yan is a project manager at an IT firm named SG Organization, struggling to deal with her handsome and brilliant – but also love-wary and demanding – boss, the company’s chief technology officer Xu Cheng Yi (Zhang Bin Bin). Xia Yan has also endured a series of unhappy relationships, and has thrown herself into her work, where she dreams of creating a life-changing app. But could her love life also benefit from a change? Meanwhile, her friend Zhao Xiao Lei is feeling decidedly down-in-the-dumps after being jilted by her fiance on the eve of their wedding. Meanwhile, Xiang Nan is a successful doctor who has trouble expressing her feelings – until a fateful accident gives her a new perspective on life. And Han Shuang, a woman from a well-to-do family, is stuck in a rut. She decides to give her life a fresh start by taking on a junior role at a furniture outlet – but could love be in store for her, too?

“Be Together” is a 2021 Chinese drama that was directed by Cui Liang.",35,https://www.viki.com/tv/37646c
"Kangchi, the Beginning",2013,Korea,9.5,12430,"['Yoo Yeon Seok', 'Suzy', 'Lee Seung Gi', 'Choi Jin Hyuk', 'Kim Bo Mi', 'Lee David', 'Ryohei Otani', 'Lee Yu Bi', 'Uhm Hyo Sup', 'Lee Yeon Hee', 'Kim Dong Gyoon', 'Lee Sung Jae', 'Kim Ki Bang', 'Jo Jae Yoon', 'Yoo Dong Geun', 'Kim Hee Jung', 'Jung Joon Won', 'Nam Hyun Joo', 'Yoon Se Ah', 'David McInnis', 'Jo Sung Ha', 'Kim Hee Won', 'Song Young Kyu', 'Lee Do Kyung', 'Jin Kyung', 'Yum Dong Hun', 'Jung Hye Young', 'Sung Joon', 'Kim So Yun (2002)', 'Lee Hye In', 'Park Joo Hyung', 'Jang Joon Yoo', 'Jo Min Ah', 'Son Ga Young', 'Show less']","Within the Moonlight Garden resides a majestic creature that led to the birth of Kang Chi. He's a Gumiho who doesn't know about his abandoned past. He meets a quirky woman who dresses up as a man. They fall in love and fight the battle of love, curses, and the fact that they're of different origins. The journey to their peace takes forever, but the love that forms between them makes each step worth fighting for.",24,https://www.viki.com/tv/10936c
Martial Universe,2018,China,8.8,5774,"['Yang Yang', 'Wu Chun', 'Wang Li Kun', 'Zhang Tian Ai', 'Tse Kwan Ho', 'Dong Qing', 'Wei Wei']","A magical talisman changes a young man’s fate forever.

Lin Dong (Yang Yang) is forsaken by his own clan. But when he comes across a stone talisman with magical powers, his life will never be the same again. As he travels the world, his many adventures help him to hone his skills as a martial artist. He also meets two very different women, Ying Huan Huan (Zhang Tian Ai) and Ling Qing Zhu (Wang Li Kun), who not only capture his heart but also help him fight to keep a demon sect from taking over the world.

Will the unassuming Lin Dong become the world’s great martial arts hero?

“Martial Universe” is a 2018 Chinese drama series directed by Zhang Li. It is based on the novel Wu Dong Qian Kun by Tian Can Tu Dou.",60,https://www.viki.com/tv/36150c
Love Under the Moon,2019,China,8.8,5367,"['Victoria Song', 'Ou Hao', 'Xia Ning Jun', 'Danson Tang', 'Ding Yong Dai', 'Wen Zheng Rong', 'Yang Tong Shu', 'Sun Yi (1996)']","A struggling student, desperate to find a way to make enough money to cover the cost of attending university in Shanghai, Xiang Yuan (Victoria Song) was willing to do whatever it took to make her dreams come true. When the Ye family offered to pay for all of her university expenses, Xiang Yuan accepted their offer without hesitation. Little did she know that in so doing, she would alter the course of her life forever.

Smart, dedicated, and determined to make a better life for herself, Xiang Yuan excelled in school, so much so that by the time she enters the workplace, she’s well on her way to becoming financially independent. Nearly free of the debt she owed the Ye family, Xiang Yuan found herself falling for the family’s eldest son, Ye Qian Ze (Ou Hao). Little did she know that the family’s second son, Ye Yun (Xia Ning Jun) had already fallen in love with her.

Caught up in an unexpected and messy love triangle, Xiang Yuan must find a way to overcome the obstacles of life and love, while holding onto the one thing that has always driven her forward... Her dreams.

Based on the novel by Xin Yi Wu, “Love Under the Moon” is a 2019 drama directed by Yu Chun.",48,https://www.viki.com/tv/36369c
An Oriental Odyssey,2018,China,9.0,10827,"['Wu Qian', 'Zhang Yu Jian', 'Zheng Ye Cheng', 'Lily Tien', 'Liu Xun', 'Yin Xiao Tian']","What would be her most surprising case?

Ye Yuan An (Wu Qian) is the daughter of the Assistant Minister of Revenue during the Tang Dynasty. Somewhat of an amateur sleuth, Yuan An loves solving mysteries and constantly in competition with Zhao Lan Zhi (Zhang Yu Jian), a police officer who is trying to do his job.

Yuan An has the assistance of Mu Le (Zheng Ye Cheng), a young man she took in as a family servant after saving him from danger.

But what will Yuan An do when she discovers Mu Le’s true identity?

“An Oriental Odyssey” is a 2018 Chinese drama series. It is based on a novel by Miao Juan.",50,https://www.viki.com/tv/35697c
Someone Like You,2015,Taiwan,9.4,9275,"['Sean Lee', 'Lorene Ren', 'Kingone Wang', 'Katie Chen', 'William', 'Nita Lei', 'Bii']","A man loses everything in one day in a tragic car accident. Fang Zhan Cheng (Kingone Wang) lost his fiancée, Liang Luo Han (Kirsten Ren), but he also lost his own eyesight. Devastated by the loss of his fiancée, Zhan Cheng is inconsolable and even refuses a corneal transplant that could restore his vision. But his life takes an unexpected turn when Wang Yu Xi (Kirsten Ren), who looks exactly like his fiancée, is hired to become Zhan Cheng’s day nurse. Another young woman, Xu Ya Ti (Nita Lei), receives Luo Han’s heart in a transplant and begins to exhibit many of Luo Han’s mannerisms and personality. Caught between a woman who looks exactly like his beloved dead fiancée and another woman who behaves just like her, what will Zhan Cheng do? “Someone Like You” is a 2015 Taiwanese drama series directed by Chen Rong Hui.",20,https://www.viki.com/tv/26573c
My Lethal Man,2023,China,9.3,35525,"['Li Mo Zhi', 'Fan Zhi Xin', 'Chang Zhe Kuan', 'Wang Xu Dong', 'Li Yi Zhen', 'Li Xin Ran']","The target of a ruthless kidnapping, Shen Man Ning’s (Li Mo Zhi) life is turned upside down when her kidnapper brings her face-to-face with her doppelganger, Zhuang Xin Yan (Li Mo Zhi). In a strange twist of events, the look-alikes never have a chance to discover if they share some long-lost connection, as Xin Yan dies unexpectedly. With the death of her “twin”, Man Ning’s life goes from chaotic to complicated when she’s forced to spend the rest of her days with Yan Xing Cheng (Fan Zhi Xin).

As powerful as he is mysterious, Xing Cheng is not a man to be crossed. So when he insists that Man Ning begins her “second life” as his fiancé, she isn’t allowed the option to say no. Utterly despising each other, Man Ning’s life with Xing Cheng is anything but pleasant but when they realize they’re both searching for answers to a seventeen-year-old mystery, they find their relationship taking an unexpected turn.

Forced to work together to find the answers they both seek, Man Ning and Xing Cheng slowly begin to break down the walls they have each put up between themselves. With time, they begin to rely on each other but can the fragile relationship they’ve started to build hold up against the trials that lie ahead?

As mysterious as it is romantic, “My Lethal Man” is a 2023 Chinese mystery romance drama directed by Chu De Jian.",24,https://www.viki.com/tv/39499c
